,x,y,x_scaled,y_scaled
525,2573,2046,0.845947265625,-0.009765625
526,2574,2050,0.84755859375,0.009765625
527,2575,2050,0.849169921875,0.009765625
528,2576,2050,0.8507812499999999,0.009765625
529,2577,2050,0.8523925781249999,0.009765625
530,2578,2049,0.85400390625,0.0048828125
531,2579,2050,0.855615234375,0.009765625
532,2580,2050,0.8572265625,0.009765625
533,2581,2050,0.8588378906249999,0.009765625
534,2582,2050,0.8604492187499999,0.009765625
535,2583,2050,0.862060546875,0.009765625
536,2584,2046,0.863671875,-0.009765625
537,2585,2050,0.865283203125,0.009765625
538,2586,2050,0.8668945312499999,0.009765625
539,2587,2047,0.8685058593749999,-0.0048828125
540,2588,2050,0.8701171875,0.009765625
541,2589,2050,0.871728515625,0.009765625
542,2590,2050,0.87333984375,0.009765625
543,2591,2049,0.8749511718749999,0.0048828125
544,2592,2049,0.8765624999999999,0.0048828125
545,2593,2049,0.878173828125,0.0048828125
546,2594,2050,0.87978515625,0.009765625
547,2595,2050,0.881396484375,0.009765625
548,2596,2049,0.8830078124999999,0.0048828125
549,2597,2049,0.8846191406249999,0.0048828125
550,2598,2049,0.88623046875,0.0048828125
551,2599,2050,0.887841796875,0.009765625
552,2600,2050,0.889453125,0.009765625
553,2601,2050,0.8910644531249999,0.009765625
554,2602,2049,0.8926757812499999,0.0048828125
555,2603,2050,0.894287109375,0.009765625
556,2604,2049,0.8958984375,0.0048828125
557,2605,2050,0.897509765625,0.009765625
558,2606,2050,0.8991210937499999,0.009765625
559,2607,2050,0.9007324218749999,0.009765625
560,2608,2051,0.90234375,0.0146484375
561,2609,2049,0.903955078125,0.0048828125
562,2610,2049,0.90556640625,0.0048828125
563,2611,2050,0.9071777343749999,0.009765625
564,2612,2049,0.9087890624999999,0.0048828125
565,2613,2049,0.910400390625,0.0048828125
566,2614,2049,0.91201171875,0.0048828125
567,2615,2050,0.913623046875,0.009765625
568,2616,2050,0.9152343749999999,0.009765625
569,2617,2049,0.9168457031249999,0.0048828125
570,2618,2050,0.91845703125,0.009765625
571,2619,2049,0.920068359375,0.0048828125
572,2620,2049,0.9216796875,0.0048828125
573,2621,2050,0.9232910156249999,0.009765625
574,2622,2045,0.9249023437499999,-0.0146484375
575,2623,2049,0.926513671875,0.0048828125
576,2624,2050,0.928125,0.009765625
577,2625,2050,0.929736328125,0.009765625
578,2626,2051,0.9313476562499999,0.0146484375
579,2627,2050,0.9329589843749999,0.009765625
580,2628,2050,0.9345703125,0.009765625
581,2629,2050,0.936181640625,0.009765625
582,2630,2050,0.93779296875,0.009765625
583,2631,2050,0.9394042968749999,0.009765625
584,2632,2046,0.9410156249999999,-0.009765625
585,2633,2050,0.942626953125,0.009765625
586,2634,2050,0.94423828125,0.009765625
587,2635,2050,0.945849609375,0.009765625
588,2636,2049,0.9474609374999999,0.0048828125
589,2637,2050,0.9490722656249999,0.009765625
590,2638,2050,0.95068359375,0.009765625
591,2639,2050,0.952294921875,0.009765625
592,2640,2050,0.95390625,0.009765625
593,2641,2050,0.9555175781249999,0.009765625
594,2642,2050,0.9571289062499999,0.009765625
595,2643,2050,0.958740234375,0.009765625
596,2644,2049,0.9603515625,0.0048828125
597,2645,2050,0.961962890625,0.009765625
598,2646,2049,0.9635742187499999,0.0048828125
599,2647,2049,0.9651855468749999,0.0048828125
600,2648,2050,0.966796875,0.009765625
601,2649,2050,0.968408203125,0.009765625
602,2650,2050,0.97001953125,0.009765625
603,2651,2050,0.9716308593749999,0.009765625
604,2652,2050,0.9732421874999999,0.009765625
605,2653,2050,0.974853515625,0.009765625
606,2654,2050,0.97646484375,0.009765625
607,2655,2050,0.978076171875,0.009765625
608,2656,2051,0.9796874999999999,0.0146484375
609,2657,2050,0.9812988281249999,0.009765625
610,2658,2050,0.98291015625,0.009765625
611,2659,2049,0.984521484375,0.0048828125
612,2660,2050,0.9861328125,0.009765625
613,2661,2051,0.9877441406249999,0.0146484375
614,2662,2049,0.9893554687499999,0.0048828125
615,2663,2050,0.990966796875,0.009765625
616,2664,2050,0.992578125,0.009765625
617,2665,2050,0.994189453125,0.009765625
618,2666,2050,0.9958007812499999,0.009765625
619,2667,2050,0.9974121093749999,0.009765625
620,2668,2050,0.9990234375,0.009765625
621,2669,2050,1.0006347656249999,0.009765625
622,2670,2051,1.00224609375,0.0146484375
623,2671,2049,1.003857421875,0.0048828125
624,2672,2049,1.00546875,0.0048828125
625,2673,2050,1.007080078125,0.009765625
626,2674,2049,1.0086914062499999,0.0048828125
627,2675,2050,1.010302734375,0.009765625
628,2676,2050,1.0119140625,0.009765625
629,2677,2049,1.013525390625,0.0048828125
630,2678,2050,1.01513671875,0.009765625
631,2679,2050,1.0167480468749999,0.009765625
